Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?
5/31/2018 9:46:28,peterhoeg@sbcglobal.net,Sparks,Izzy,11th Grade,Ms. Lacassio,Yes,Pagenkopf - Math is Awesome!,Bostford,Pacheco - Random Acts of Kindness,Churchill - Paper Recycling,YES
5/31/2018 9:46:31,tubajon@verizon.net,Daniels,Boomer,11th Grade,bade/artledge,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,King,Morrow - Music Appreciation,NO
5/31/2018 9:46:39,greear@me.com,Bradshaw,Missie,10th Grade,Pagenkopf,No,Pacheco - Random Acts of Kindness,Ms. Houston - Gabbing and Games (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",Rhoads - Mindfulness,YES
5/31/2018 9:46:41,heroine@icloud.com,Suarez,Rocco,12th Grade,McCrae,Yes,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Pacheco - Random Acts of Kindness,Murphy/Bade- Animal Rights,NO
5/31/2018 9:46:42,budinger@yahoo.com,Walker,Mia,11th Grade,tech/mcdowell ,Yes,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,Pacheco - Random Acts of Kindness,YES
5/31/2018 9:46:43,barnett@gmail.com,Rollins,Lily,10th Grade,Lacossio ,No,Milligan - Sententiae Antiguae,Bostford,Ferguson,Gentile,NO
5/31/2018 9:46:44,techie@verizon.net,Riley,Jasper,11th Grade,Rais ,Yes,Singer/Enos - Ultimate Frisbee,Ferguson,Rais,Beard,YES
5/31/2018 9:46:46,jbryan@aol.com,Lane,Buddy,12th Grade,Locascio/Newcombe ,No,Singer/Enos - Ultimate Frisbee,Rais,King,Sevits,NO
5/31/2018 9:46:46,cliffski@mac.com,Lester,Diesel,10th Grade,Ms. Bui,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:46:51,bulletin@verizon.net,Weber,Finn,12th Grade,Ms. Singer,Yes,Singer/Enos - Ultimate Frisbee,Sevits,Weida,Mee,NO
5/31/2018 9:46:55,frosal@mac.com,Gross,Ruby,10th Grade,Bade/Arledge,No,Bonilla,Weida,Kelly,Bostford,YES
5/31/2018 9:46:56,boftx@yahoo.ca,Ray,Stella,10th Grade,Rais/Guibal,No,Milligan - Sententiae Antiguae,Kelly,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,NO
5/31/2018 9:46:58,lbaxter@live.com,Reyes,Ella,10th Grade,Mrs.Racine,No,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Bonilla,NO
5/31/2018 9:47:02,zyghom@msn.com,Logan,Katie,11th Grade,Rhoads,Yes,Rhoads - Mindfulness,Murphy/Bade- Animal Rights,Most,Mee,YES
5/31/2018 9:47:05,jginspace@live.com,Stanley,Zara,10th Grade,Mrs. Bui,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:47:09,trygstad@hotmail.com,Mayo,Kobe,12th Grade,Ferguson,No,Most,Rais,Wooton - Bottle Recycling/Current Events,Sevits,NO
5/31/2018 9:47:15,earmstro@yahoo.ca,Bush,Coco,11th Grade,Mrs. Walts ,No,Morrow - Music Appreciation,Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,Bostford,NO
5/31/2018 9:47:16,rnewman@outlook.com,Valencia,Rex,10th Grade,Mr. Weida,No,Kelly,"O'Hara McCray - Fun, Food, and Feliz",Wooton - Bottle Recycling/Current Events,French,YES
5/31/2018 9:47:18,pappp@gmail.com,Walls,Chester,10th Grade,Mr. Beard,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:47:22,samavati@att.net,Ho,Grace,11th Grade,Mr. Wooton,No,Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",Morrow - Music Appreciation,Kelly,YES
5/31/2018 9:47:23,loscar@comcast.net,May,Gucci,12th Grade,Rhoades,No,Most,Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Rhoads - Mindfulness,YES
5/31/2018 9:47:23,gtaylor@sbcglobal.net,Cantrell,Koda,12th Grade,racine,No,Most,Mee,Beard,French,NO
5/31/2018 9:47:24,carcus@msn.com,Clements,Fiona,11th Grade,Botsford,No,Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,Bostford,Moynihan - Nutrition Nuts,NO
5/31/2018 9:47:34,jfmulder@yahoo.com,Adkins,Bandit,11th Grade,Ms. Rais,No,Singer/Enos - Ultimate Frisbee,Murphy/Bade- Animal Rights,Ms. Houston - Gabbing and Games (new teacher!),Kelley - Big Think,YES
5/31/2018 9:47:35,fmtbebuck@icloud.com,Good,Chanel,10th Grade,Singer,No,Ms. Houston - Gabbing and Games (new teacher!),Pacheco - Random Acts of Kindness,"O'Hara McCray - Fun, Food, and Feliz",Mr. Houston - All Things International (new teacher!),YES
5/31/2018 9:47:35,aibrahim@me.com,Callahan,Payton,10th Grade,Mr. Churchill,Yes,Churchill - Paper Recycling,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Murphy/Bade- Animal Rights,NO
5/31/2018 9:47:40,earmstro@hotmail.com,Dominguez,Bud,10th Grade,Rais/Guibal,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,Pagenkopf - Math is Awesome!,NO
5/31/2018 9:47:45,jginspace@att.net,Wolf,Ava,10th Grade,Bade alredge,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:47:46,paley@mac.com,Delgado,Brody,10th Grade,Yolanda Furguson,No,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Mr. Houston - All Things International (new teacher!),Pacheco - Random Acts of Kindness,YES
5/31/2018 9:47:52,mavilar@yahoo.com,Bradford,Annie,10th Grade,Mr. Weida,No,Bostford,Ms. Houston - Gabbing and Games (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",Rais,YES
5/31/2018 9:47:57,jguyer@yahoo.ca,Stark,Cookie,11th Grade,Mr . Morrow,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,Pagenkopf - Math is Awesome!,YES
5/31/2018 9:48:12,jrkorson@optonline.net,Tanner,Chance,10th Grade,Siaflas,No,Milligan - Sententiae Antiguae,Bostford,Morrow - Music Appreciation,Weida,NO
5/31/2018 9:48:13,squirrel@hotmail.com,Hayes,Sandy,10th Grade,Mr. Houpert,No,Milligan - Sententiae Antiguae,Rais,Kelly,Singer/Enos - Ultimate Frisbee,NO
5/31/2018 9:48:25,ninenine@live.com,Barton,Tank,12th Grade,Ms.Rais and Mr.Guibal,No,Mee,Milligan - Sententiae Antiguae,Ms. Houston - Gabbing and Games (new teacher!),Forget,YES
5/31/2018 9:48:28,bjoern@mac.com,Hebert,Roxy,10th Grade,Racine ,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:48:34,lstein@mac.com,Mayer,Lucy,12th Grade,Mee,No,Singer/Enos - Ultimate Frisbee,Rais,Pace,Mr. Houston - All Things International (new teacher!),YES
5/31/2018 9:48:34,boomzilla@yahoo.com,Montoya,Allie,10th Grade,Mrs.Botsford,No,"O'Hara McCray - Fun, Food, and Feliz",Bostford,Bonilla,Most,NO
5/31/2018 9:48:37,osrin@yahoo.ca,Shaw,Abbie,10th Grade,Mr. Houpertt ,No,Bonilla,Rais,"O'Hara McCray - Fun, Food, and Feliz",Bostford,NO
5/31/2018 9:48:44,malvar@sbcglobal.net,Booth,Lulu,11th Grade,Rhoads,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Beard,Sevits,YES
5/31/2018 9:48:48,dsowsy@sbcglobal.net,Burgess,Marley,10th Grade,Moynihan,No,"O'Hara McCray - Fun, Food, and Feliz",Morrow - Music Appreciation,Singer/Enos - Ultimate Frisbee,Pagenkopf - Math is Awesome!,NO
5/31/2018 9:49:02,aaribaud@verizon.net,Dunn,Romeo,10th Grade,Moynihan,No,Bostford,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Milligan - Sententiae Antiguae,YES
5/31/2018 9:49:06,wenzlaff@msn.com,Shea,Belle,10th Grade,Ferguson,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Murphy/Bade- Animal Rights,Doherty - Knit & DIYs,YES
5/31/2018 9:49:26,qrczak@yahoo.ca,Nixon,Jackson,10th Grade,Rhoads,Yes,Rhoads - Mindfulness,"O'Hara McCray - Fun, Food, and Feliz",Wooton - Bottle Recycling/Current Events,Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:49:29,grossman@verizon.net,Campbell,Polo,10th Grade,Milligan,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,YES
5/31/2018 9:49:30,qrczak@att.net,Bryant,Cody,10th Grade,Bade/Alredge,No,Rais,Bonilla,Bostford,Milligan - Sententiae Antiguae,NO
5/31/2018 9:49:41,hakim@msn.com,Booker,Olive,10th Grade,Siaflas/French,No,Singer/Enos - Ultimate Frisbee,Guibal,Churchill - Paper Recycling,Weida,NO
5/31/2018 9:49:51,snunez@hotmail.com,Dalton,Harley,10th Grade,Weida,No,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Bostford,Kelly,NO
5/31/2018 9:49:52,liedra@me.com,Carlson,Dakota,10th Grade,Newcombe,No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:49:54,rmcfarla@mac.com,Galloway,Tiger,10th Grade,Ms. Locasio and Mr. N,No,Weida,Bonilla,Kelly,"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:49:55,wmszeliga@yahoo.com,Larson,Bailey,10th Grade,"Doherty, Enos",No,"O'Hara McCray - Fun, Food, and Feliz",Rais,Weida,Sevits,NO
5/31/2018 9:49:55,scottzed@att.net,Mccormick,Scout,12th Grade,Siaflas/French,Yes,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Moynihan - Nutrition Nuts,Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:49:55,magusnet@hotmail.com,Rocha,Tucker,11th Grade, Mr. Mee,Yes,Singer/Enos - Ultimate Frisbee,Mr. Houston - All Things International (new teacher!),Ms. Houston - Gabbing and Games (new teacher!),"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:50:14,aprakash@comcast.net,Huffman,Oreo,10th Grade,Mrs.Ferguson,No,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Bostford,NO
5/31/2018 9:50:24,mcsporran@aol.com,Montes,Shelby,12th Grade,Pagenkopf ,No,Archer,Churchill - Paper Recycling,Pagenkopf - Math is Awesome!,Milligan - Sententiae Antiguae,NO
5/31/2018 9:50:29,leslie@me.com,Morales,Tyson,11th Grade,Rais,No,Singer/Enos - Ultimate Frisbee,Murphy/Bade- Animal Rights,Churchill - Paper Recycling,Forget,NO
5/31/2018 9:50:33,geekoid@me.com,Medina,Brady,11th Grade,Bade,No,"O'Hara McCray - Fun, Food, and Feliz",Sevits,Singer/Enos - Ultimate Frisbee,Weida,YES
5/31/2018 9:50:42,jadavis@mac.com,Davenport,Frankie,11th Grade,Ms. Bade/ Mrs. Arledge,No,Kelly,"O'Hara McCray - Fun, Food, and Feliz",Rais,Forget,YES
5/31/2018 9:50:52,portscan@live.com,Valentine,Astro,11th Grade,Ms. Bui,No,Sevits,Beard,Doherty - Knit & DIYs,Forget,YES
5/31/2018 9:50:54,ducasse@att.net,Schroeder,Madison,10th Grade,Mr.Pace,No,Bostford,"O'Hara McCray - Fun, Food, and Feliz",Kelley - Big Think,Doherty - Knit & DIYs,YES
5/31/2018 9:50:56,gtewari@msn.com,Singleton,Baxter,11th Grade,Martinez,No,Singer/Enos - Ultimate Frisbee,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Archer,YES
5/31/2018 9:50:58,rgiersig@msn.com,Leach,Sam,11th Grade,ms botsford ,No,Sevits,Beard,Doherty - Knit & DIYs,Forget,YES
5/31/2018 9:51:01,mcrawfor@comcast.net,Farrell,Penelope,11th Grade,Milligan,No,Singer/Enos - Ultimate Frisbee,King,Pace,Mee,YES
5/31/2018 9:51:17,jyoliver@att.net,Wagner,Mimi,10th Grade,Milligan,No,Singer/Enos - Ultimate Frisbee,Archer,Mee,Milligan - Sententiae Antiguae,YES
5/31/2018 9:51:34,msroth@att.net,Cox,Wrigley,10th Grade,Mr.Mee,No,Most,Bonilla,Morrow - Music Appreciation,Milligan - Sententiae Antiguae,NO
5/31/2018 9:51:43,jipsen@live.com,Hardin,Nikki,10th Grade,Mr.Wooten,No,"O'Hara McCray - Fun, Food, and Feliz",Murphy/Bade- Animal Rights,Milligan - Sententiae Antiguae,Singer/Enos - Ultimate Frisbee,YES
5/31/2018 9:51:48,kspiteri@hotmail.com,Sexton,Gigi,10th Grade,Mr. Weida,No,Churchill - Paper Recycling,Doherty - Knit & DIYs,"O'Hara McCray - Fun, Food, and Feliz",Wooton - Bottle Recycling/Current Events,YES
5/31/2018 9:51:50,lstaf@me.com,Salas,Prince,10th Grade,Enos and Doherty ,No,Rais,Bonilla,Archer,Milligan - Sententiae Antiguae,YES
5/31/2018 9:52:16,zwood@yahoo.ca,Livingston,Brewster,10th Grade,Sevits/Aldo,No,Kelley - Big Think,"O'Hara McCray - Fun, Food, and Feliz",Rhoads - Mindfulness,Moynihan - Nutrition Nuts,YES
5/31/2018 9:52:19,lstaf@aol.com,Lambert,Sammy,10th Grade,Houpert,No,Milligan - Sententiae Antiguae,Doherty - Knit & DIYs,Pacheco - Random Acts of Kindness,Rhoads - Mindfulness,YES
5/31/2018 9:52:22,aegreene@hotmail.com,Gordon,Holly,10th Grade,Houpert,No,Rais,Bonilla,Archer,Milligan - Sententiae Antiguae,NO
5/31/2018 9:52:25,grolschie@sbcglobal.net,Ortiz,Joey,10th Grade,Mr French and Ms Siaflas,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,Bonilla,NO
5/31/2018 9:52:28,ducasse@hotmail.com,Galvan,Sugar,10th Grade,Mr.Mee,No,Rais,Bonilla,Archer,Milligan - Sententiae Antiguae,NO
5/31/2018 9:53:04,godeke@optonline.net,Glenn,Gunner,10th Grade,Mrs Gentile ,No,"O'Hara McCray - Fun, Food, and Feliz",Ms. Houston - Gabbing and Games (new teacher!),Mr. Houston - All Things International (new teacher!),Pacheco - Random Acts of Kindness,YES
5/31/2018 9:53:17,matloff@optonline.net,Coleman,Jeter,11th Grade,Bonilla/Pace ,No,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Moynihan - Nutrition Nuts,Bonilla,YES
5/31/2018 9:53:38,peoplesr@hotmail.com,Singh,Ziggy,12th Grade,Mr. McDowell/Richenberg,No,Rais,Kelley - Big Think,Sevits,"O'Hara McCray - Fun, Food, and Feliz",YES
5/31/2018 9:53:50,campware@att.net,Mccarty,Phoebe,10th Grade,Mr.Tecklenburg,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,Bonilla,YES
5/31/2018 9:54:05,arebenti@mac.com,Harrington,Maggie,10th Grade,Siaflas/french,No,Morrow - Music Appreciation,"O'Hara McCray - Fun, Food, and Feliz",Milligan - Sententiae Antiguae,Ferguson,YES
5/31/2018 9:54:26,gemmell@icloud.com,Dorsey,Jasmine,10th Grade,Mrs Pacheco and Mrs Gentile,No,Rais,Bonilla,Archer,Milligan - Sententiae Antiguae,YES
5/31/2018 9:55:30,ducasse@msn.com,Spence,Maya,10th Grade,Botsford,No,Rais,Bonilla,Archer,Milligan - Sententiae Antiguae,NO
5/31/2018 9:57:06,empathy@outlook.com,Willis,Mocha,12th Grade,Mr. Weida,No,"O'Hara McCray - Fun, Food, and Feliz",Moynihan - Nutrition Nuts,Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,YES
5/31/2018 9:59:48,mthurn@live.com,Moon,Jax,10th Grade,Rais guibal ,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Morrow - Music Appreciation,Bonilla,NO
5/31/2018 10:00:02,pakaste@msn.com,Jordan,Whiskey,10th Grade,Most ,No,Bostford,"O'Hara McCray - Fun, Food, and Feliz",Moynihan - Nutrition Nuts,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 10:00:46,phizntrg@mac.com,Ponce,Kahlua,10th Grade,Ms.King,Yes,King,Ms. Houston - Gabbing and Games (new teacher!),Morrow - Music Appreciation,Wooton - Bottle Recycling/Current Events,YES
5/31/2018 10:01:29,plover@yahoo.com,Duarte,Rusty,10th Grade,Walts,Yes,Mee,Bostford,Kelly,Bonilla,NO
5/31/2018 10:04:50,ntegrity@yahoo.com,Huynh,Maddie,12th Grade,Mr. Whooten ,Yes,Wooton - Bottle Recycling/Current Events,Mee,King,Bostford,YES
5/31/2018 10:05:15,melnik@aol.com,Cummings,Puppy,12th Grade,Waltz,No,Bostford,Moynihan - Nutrition Nuts,Bonilla,Rais,NO
5/31/2018 10:05:34,vlefevre@yahoo.com,Hurst,Shiner,10th Grade,Mrs. Ferguson,No,Singer/Enos - Ultimate Frisbee,Milligan - Sententiae Antiguae,Bostford,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 10:08:29,duchamp@outlook.com,Meadows,Bubba,10th Grade,Mrs Singer ,Yes,Churchill - Paper Recycling,Kelley - Big Think,Rhoads - Mindfulness,Pacheco - Random Acts of Kindness,NO
5/31/2018 10:16:47,helger@me.com,Patterson,Nina,10th Grade,Ferguson ,No,"O'Hara McCray - Fun, Food, and Feliz",Singer/Enos - Ultimate Frisbee,Mr. Houston - All Things International (new teacher!),Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 10:21:41,ajohnson@optonline.net,Pacheco,Thor,12th Grade,Mr. Mee,No,Moynihan - Nutrition Nuts,Mee,Rhoads - Mindfulness,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 10:23:01,arnold@comcast.net,Watkins,Maverick,11th Grade,Ms. Siaflas ,No,Kelly,Sevits,Murphy/Bade- Animal Rights,King,YES
5/31/2018 10:36:26,mnemonic@comcast.net,Rubio,Benji,11th Grade,Most,Yes,Most,"O'Hara McCray - Fun, Food, and Feliz",Pagenkopf - Math is Awesome!,Weida,YES
5/31/2018 10:43:06,damian@live.com,Ashley,Molly,12th Grade,Martinez ,No,King,"O'Hara McCray - Fun, Food, and Feliz",Sevits,Murphy/Bade- Animal Rights,NO
5/31/2018 10:54:45,corrada@yahoo.ca,Pope,Simba,10th Grade,Ms.Bui,No,"O'Hara McCray - Fun, Food, and Feliz",Bonilla,Kelly,Singer/Enos - Ultimate Frisbee,NO
5/31/2018 10:58:47,bflong@me.com,Baldwin,Mercedes,12th Grade,Singer ,Yes,Singer/Enos - Ultimate Frisbee,Wooton - Bottle Recycling/Current Events,Sevits,Beard,YES
5/31/2018 11:32:37,tattooman@hotmail.com,Wright,Pepper,10th Grade,Mr French/ sioflia ,No,Rais,Doherty - Knit & DIYs,Archer,Ferguson,YES
5/31/2018 11:43:49,sacraver@yahoo.com,Schneider,Zoe,11th Grade,Yolanda Ferguson ,No,Singer/Enos - Ultimate Frisbee,Ms. Houston - Gabbing and Games (new teacher!),Wooton - Bottle Recycling/Current Events,Archer,YES
5/31/2018 12:02:05,bhtower@icloud.com,Powell,Jack,10th Grade,Pags ,Yes,Pagenkopf - Math is Awesome!,Bostford,Gentile,Ms. Houston - Gabbing and Games (new teacher!),YES
5/31/2018 12:02:07,budinger@yahoo.com,Dickson,Ace,10th Grade,Mr. Enos,No,Singer/Enos - Ultimate Frisbee,King,Most,Milligan - Sententiae Antiguae,NO
5/31/2018 12:02:28,mnemonic@me.com,Knapp,Sassy,12th Grade,McDowell/Richenburg,No,Archer,Bostford,Ms. Houston - Gabbing and Games (new teacher!),Gentile,YES
5/31/2018 12:08:26,ianbuck@optonline.net,Watson,Ellie,11th Grade,Singer,No,Sevits,Singer/Enos - Ultimate Frisbee,Beard,Mr. McDowell,YES
5/31/2018 12:09:45,fangorn@outlook.com,Krueger,Penny,11th Grade,Sevits,Yes,Singer/Enos - Ultimate Frisbee,Most,"O'Hara McCray - Fun, Food, and Feliz",Rais,NO
5/31/2018 12:09:46,jaarnial@yahoo.com,Kirby,Hazel,11th Grade,Most,No,Singer/Enos - Ultimate Frisbee,Most,"O'Hara McCray - Fun, Food, and Feliz",Rais,NO
5/31/2018 12:09:47,bwcarty@outlook.com,Leonard,Lacey,11th Grade,Locasio and Newcombe,No,Singer/Enos - Ultimate Frisbee,Most,"O'Hara McCray - Fun, Food, and Feliz",Rais,NO
5/31/2018 12:10:01,mrdvt@icloud.com,Miranda,Lexi,11th Grade,Rascine/Archer,No,"O'Hara McCray - Fun, Food, and Feliz",Weida,Mee,Tecklenburg/McDowell,NO
5/31/2018 12:32:11,richard@yahoo.com,Mckinney,Bonnie,12th Grade,Enos,No,Rais,Tecklenburg/McDowell,Bostford,Murphy/Bade- Animal Rights,NO
5/31/2018 13:27:09,sagal@live.com,Barron,Rufus,10th Grade,Mrs. Mullen,No,"O'Hara McCray - Fun, Food, and Feliz",Morrow - Music Appreciation,Mr. Houston - All Things International (new teacher!),Singer/Enos - Ultimate Frisbee,YES
5/31/2018 13:51:00,nacho@aol.com,Frost,Samson,12th Grade,Mr. Houpert,No,King,Bostford,Rais,Sevits,YES
5/31/2018 14:00:32,ismail@me.com,Wall,Dexter,11th Grade,Locascio/Newcomb,No,Bostford,Doherty - Knit & DIYs,Murphy/Bade- Animal Rights,Churchill - Paper Recycling,NO
5/31/2018 14:02:45,twoflower@icloud.com,Manning,Ollie,12th Grade,Mr enos,No,Rais,"O'Hara McCray - Fun, Food, and Feliz",Doherty - Knit & DIYs,Bonilla,NO
5/31/2018 14:07:16,dimensio@me.com,Sanchez,Zoey,10th Grade,Mr. Churchill,No,"O'Hara McCray - Fun, Food, and Feliz",Churchill - Paper Recycling,Bostford,Bonilla,YES
