Timestamp,Email Address,LAST NAME,FIRST NAME,GRADE ENTERING NEXT YEAR,CURRENT ADVISOR,WOULD YOU LIKE TO HAVE THE SAME ADVISOR NEXT YEAR?,Please rank your advisor preference: [First choice],Please rank your advisor preference: [Second choice],Please rank your advisor preference: [Third choice],Please rank your advisor preference: [Fourth choice],Would you consider having a new teacher as an advisor?,
5/31/2018 10:54:44,dmiller@sbcglobal.net,Robinson,Ranger,10th Grade,Madame Blanc,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Sheeler/Music & the Arts Alive Advisory,Mme Blanc,NO,
5/31/2018 9:46:15,noneme@msn.com,Brennan,Bo,12th Grade,Madame Blanc,No,Mr. Crowell,Mr. Bihl,Mrs. Abel,Ms. Monfort,NO,
5/31/2018 9:46:19,garland@att.net,Rowe,Charlie,12th Grade,Raftery ,Yes,Ms. Raftery,Mrs. Abel,Mr. Abel,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:46:20,peterhoeg@sbcglobal.net,Sparks,Izzy,10th Grade,Mr. Hyer,No,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Wheeler,Mr. Fetzer,YES,
5/31/2018 9:46:22,tubajon@verizon.net,Daniels,Boomer,11th Grade,Madame Blanc,No,Ms. Mead/ Snack attack!,Ms. Lambdin,Ms. Newcombe,Ms. Wheeler,YES,
5/31/2018 9:46:25,greear@me.com,Bradshaw,Missie,12th Grade,Fetz,Yes,Mr. Fetzer,Mr. Bihl,Mr. Bundy,Mr. Abel,YES,
5/31/2018 9:46:32,heroine@icloud.com,Suarez,Rocco,11th Grade,Me. Mead,Yes,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. McKay,Mrs. Abel,NO,
5/31/2018 9:46:33,budinger@yahoo.com,Walker,Mia,11th Grade,Ms. Pohlman,No,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Wheeler,Ms. Lambdin,Ms. Strong/ROVers Advisory,YES,1
5/31/2018 9:46:34,barnett@gmail.com,Rollins,Lily,12th Grade,Bhil,No,Ms. Sandland,Ms. Farooqi,Mr. Abel,Mr. Crowell,NO,
5/31/2018 9:46:38,techie@verizon.net,Riley,Jasper,10th Grade,Madame O'keefe,No,Mr. Bihl,Mr. Fetzer,Ms. Mead/ Snack attack!,Mr. Crowell,YES,
5/31/2018 9:46:41,jbryan@aol.com,Lane,Buddy,11th Grade,Mrs. Singh,No,Mrs. Abel,Ms. Mead/ Snack attack!,Mr. McKay,Ms. Monfort,YES,
5/31/2018 9:46:41,cliffski@mac.com,Lester,Diesel,11th Grade,mrs.prantis ,No,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Young/Theatre Advisory,Ms. Wheeler,Ms. Monfort,YES,
5/31/2018 9:46:44,bulletin@verizon.net,Weber,Finn,10th Grade,Mr Abel ,No,Ms. Raftery,Mr. McKay,Ms. Monfort,Mr. Abel,NO,
5/31/2018 9:46:55,frosal@mac.com,Gross,Ruby,10th Grade,Mr. Abel,No,Ms. Raftery,Mr. McKay,Mr. Abel,Ms. Pohlman,NO,
5/31/2018 9:46:57,boftx@yahoo.ca,Ray,Stella,10th Grade,Williams,No,Mr. Bundy,Mrs. Abel,Ms. Mead/ Snack attack!,Mr. Abel,YES,
5/31/2018 9:59:50,lbaxter@live.com,Reyes,Ella,11th Grade,krumveida,No,Mr. McKay,Ms. Lambdin,Ms. Mead/ Snack attack!,Dr. Wright,NO,
5/31/2018 9:47:21,zyghom@msn.com,Logan,Katie,12th Grade,Raftery,Yes,Ms. Raftery,Dr. Sampou/Recycling the Right Way,Ms. Monfort,Ms. Manrique/Latin American Culture Advisory,NO,
5/31/2018 9:47:21,jginspace@live.com,Stanley,Zara,11th Grade,Mr. Able,Yes,Mr. Abel,Ms. Mead/ Snack attack!,Mr. Bundy,Mr. Crowell,NO,
5/31/2018 9:47:22,trygstad@hotmail.com,Mayo,Kobe,10th Grade,Mr. Bundy,Yes,Ms. Mead/ Snack attack!,Mr. Bundy,Mrs. Abel,Ms. Young/Theatre Advisory,NO,
5/31/2018 9:47:24,earmstro@yahoo.ca,Bush,Coco,10th Grade,Madam blanc ,No,Ms. Pohlman,Mr. McKay,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:47:28,rnewman@outlook.com,Valencia,Rex,11th Grade,dr pete ,No,Ms. Monfort,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,Mrs. Abel,YES,
5/31/2018 9:47:59,pappp@gmail.com,Walls,Chester,12th Grade,Mr. Abel,Yes,Mr. Abel,Mr. Crowell,Mr. Bundy,Dr. Wright,NO,
5/31/2018 9:48:01,samavati@att.net,Ho,Grace,10th Grade,Mr. Bundy ,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Mrs. Abel,Mr. Bundy,NO,
5/31/2018 9:48:01,loscar@comcast.net,May,Gucci,10th Grade,Ms. Wheeler,No,Mr. Bundy,Mrs. Abel,Ms. Mead/ Snack attack!,Mr. Abel,NO,
5/31/2018 9:48:04,gtaylor@sbcglobal.net,Cantrell,Koda,11th Grade,Mr Mckay,Yes,Ms. Monfort,Ms. Mead/ Snack attack!,Mr. McKay,Ms. Newcombe,YES,
5/31/2018 9:48:07,carcus@msn.com,Clements,Fiona,11th Grade,mrs daley,No,Ms. Mead/ Snack attack!,Mr. McKay,Mrs. Abel,Ms. Sheeler/Music & the Arts Alive Advisory,YES,
5/31/2018 9:48:12,jfmulder@yahoo.com,Adkins,Bandit,12th Grade,Dr. Wright,No,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Abel,Mr. Bihl,Ms. Wheeler,NO,
5/31/2018 9:48:15,fmtbebuck@icloud.com,Good,Chanel,10th Grade,Ms. lambdin,No,Ms. Pohlman,Mr. McKay,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:48:15,aibrahim@me.com,Callahan,Payton,10th Grade,Sheeler,Yes,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. McKay,Ms. Strong/ROVers Advisory,Dr. Sampou/Recycling the Right Way,YES,
5/31/2018 9:48:16,earmstro@hotmail.com,Dominguez,Bud,10th Grade,Ms Lambdin,No,Ms. Pohlman,Mr. McKay,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:48:19,jginspace@att.net,Wolf,Ava,10th Grade,Dr. Wright ,Yes,Mrs. Abel,Mr. Abel,Ms. Agostinelli,Mr. Bihl,NO,
5/31/2018 9:48:21,paley@mac.com,Delgado,Brody,12th Grade,Faroqui,No,Ms. Sheeler/Music & the Arts Alive Advisory,Mrs. Abel,Ms. Monfort,Mr. Abel,YES,
5/31/2018 9:48:23,mavilar@yahoo.com,Bradford,Annie,11th Grade,Blanc,No,Mr. McKay,Ms. Monfort,Ms. Yalden/Healthy Living Advisory,Mme Blanc,YES,
5/31/2018 9:48:28,jguyer@yahoo.ca,Stark,Cookie,11th Grade,Singh ,Yes,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Lambdin,Mrs. Abel,YES,4
5/31/2018 9:48:29,jrkorson@optonline.net,Tanner,Chance,11th Grade,Mrs.Singh,Yes,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Lambdin,Mrs. Abel,YES,4
5/31/2018 9:48:34,squirrel@hotmail.com,Hayes,Sandy,11th Grade,Dr Pete ,Yes,Dr. Sampou/Recycling the Right Way,Ms. Lambdin,Ms. Mead/ Snack attack!,Ms. Wheeler,NO,0
5/31/2018 9:48:41,ninenine@live.com,Barton,Tank,10th Grade,Monfort ,No,Ms. Mead/ Snack attack!,Mr. Bundy,Mr. Crowell,Ms. Monfort,NO,
5/31/2018 9:48:46,bjoern@mac.com,Hebert,Roxy,11th Grade,Mrs. Singh,Yes,Mrs. Abel,Ms. Monfort,Ms. Raftery,Ms. Newcombe,NO,
5/31/2018 9:48:46,lstein@mac.com,Mayer,Lucy,11th Grade,Madam Blank,No,Ms. Mead/ Snack attack!,Ms. Sandland,Mrs. Abel,Ms. Sheeler/Music & the Arts Alive Advisory,YES,
5/31/2018 9:48:46,boomzilla@yahoo.com,Montoya,Allie,11th Grade,Mrs.Singh,Yes,Ms. Mead/ Snack attack!,Mrs. Abel,Mr. Abel,Mr. McKay,NO,123
5/31/2018 9:54:46,osrin@yahoo.ca,Shaw,Abbie,12th Grade,Mr. McKay,Yes,Mr. McKay,Mr. Abel,Mrs. Abel,Ms. Pohlman,NO,
5/31/2018 9:48:52,malvar@sbcglobal.net,Booth,Lulu,11th Grade,Farooqi,No,Ms. Mead/ Snack attack!,Ms. Raftery,Mr. Wojtowicz,Mr. Bundy,YES,
5/31/2018 9:48:59,dsowsy@sbcglobal.net,Burgess,Marley,10th Grade,Mr.Bundy,No,Mrs. Abel,Mr. Abel,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Strong/ROVers Advisory,YES,
5/31/2018 9:49:07,aaribaud@verizon.net,Dunn,Romeo,11th Grade,Me wheeler ,Yes,Ms. Wheeler,Mrs. Abel,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Monfort,YES,
5/31/2018 9:49:08,wenzlaff@msn.com,Shea,Belle,10th Grade,Agostinelli,No,Ms. Young/Theatre Advisory,Ms. Mead/ Snack attack!,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Newcombe,YES,
5/31/2018 9:49:10,qrczak@yahoo.ca,Nixon,Jackson,12th Grade,Williams ,No,Mr. Crowell,Ms. Sandland,Dr. Sampou/Recycling the Right Way,Mr. Abel,NO,
5/31/2018 9:49:14,grossman@verizon.net,Campbell,Polo,12th Grade,Hyer,No,Mr. Crowell,Ms. Sandland,Dr. Sampou/Recycling the Right Way,Mr. Abel,NO,
5/31/2018 9:49:17,qrczak@att.net,Bryant,Cody,12th Grade,Ms. Manrique,Yes,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Mrs. Abel,Mr. Abel,NO,
5/31/2018 9:49:18,hakim@msn.com,Booker,Olive,10th Grade,Singh ,No,Mr. McKay,Mr. Crowell,Mr. Bundy,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:49:22,snunez@hotmail.com,Dalton,Harley,11th Grade,Mead,No,Ms. Lambdin,Ms. Mead/ Snack attack!,Ms. Monfort,Mr. McKay,NO,
5/31/2018 9:49:23,liedra@me.com,Carlson,Dakota,11th Grade,Mead,No,Ms. Lambdin,Ms. Monfort,Ms. Mead/ Snack attack!,Mr. Bundy,NO,
5/31/2018 9:49:30,rmcfarla@mac.com,Galloway,Tiger,12th Grade,Mrs. Farooqi,No,Mr. Abel,Ms. Young/Theatre Advisory,Ms. Mead/ Snack attack!,Mr. Crowell,NO,
5/31/2018 9:49:35,wmszeliga@yahoo.com,Larson,Bailey,10th Grade,Ms Mead,Yes,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Yalden/Healthy Living Advisory,YES,
5/31/2018 9:49:37,scottzed@att.net,Mccormick,Scout,12th Grade,Manrique ,No,Ms. Mead/ Snack attack!,Ms. Monfort,Ms. Raftery,Mr. Abel,YES,
5/31/2018 9:49:41,magusnet@hotmail.com,Rocha,Tucker,12th Grade,Farooqi,No,Mr. Crowell,Ms. Sandland,Dr. Sampou/Recycling the Right Way,Mr. Abel,NO,
5/31/2018 9:49:46,aprakash@comcast.net,Huffman,Oreo,12th Grade,Ms. Manrique ,No,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Dr. Sampou/Recycling the Right Way,YES,
5/31/2018 9:49:53,mcsporran@aol.com,Montes,Shelby,11th Grade,Manrique,No,Ms. Monfort,Ms. Manrique/Latin American Culture Advisory,Ms. Raftery,Mr. McKay,NO,
5/31/2018 9:49:57,leslie@me.com,Morales,Tyson,11th Grade,Mr. Mckay,Yes,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Sheeler/Music & the Arts Alive Advisory,Mr. Abel,NO,
5/31/2018 9:50:00,geekoid@me.com,Medina,Brady,11th Grade,Dr. Pete,No,Ms. Mead/ Snack attack!,Ms. Sandland,Ms. Milne/Ms. Prantis/Origami Advisory,Dr. Sampou/Recycling the Right Way,YES,1337
5/31/2018 9:50:04,jadavis@mac.com,Davenport,Frankie,10th Grade,ms farooqi ,No,Ms. Mead/ Snack attack!,Mr. McKay,Mrs. Abel,Mr. Crowell,YES,
5/31/2018 9:50:05,portscan@live.com,Valentine,Astro,11th Grade,Dr. Pete,No,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,Ms. Lambdin,Mrs. Abel,YES,
5/31/2018 9:50:05,ducasse@att.net,Schroeder,Madison,10th Grade,Agostinelli,No,Ms. Mead/ Snack attack!,Mr. Crowell,Mr. Tallman/Word Games Advisory,Ms. Pohlman,YES,
5/31/2018 9:50:12,gtewari@msn.com,Singleton,Baxter,10th Grade,Mrs strong ,No,Mr. McKay,Ms. Newcombe,Mr. Crowell,Ms. Yalden/Healthy Living Advisory,YES,
5/31/2018 9:50:13,rgiersig@msn.com,Leach,Sam,10th Grade,Dr Write,No,Mr. McKay,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,Mr. Bundy,YES,
5/31/2018 9:50:15,mcrawfor@comcast.net,Farrell,Penelope,10th Grade,Strong ,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. Abel,Mr. Tallman/Word Games Advisory,NO,
5/31/2018 9:50:24,jyoliver@att.net,Wagner,Mimi,12th Grade,Mrs. Daley,No,Mr. Tallman/Word Games Advisory,Ms. Farooqi,Mr. Abel,Mr. Bundy,NO,
5/31/2018 9:50:26,msroth@att.net,Cox,Wrigley,11th Grade,Wojtowicz,No,Ms. Lambdin,Ms. Monfort,Mr. McKay,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:50:27,jipsen@live.com,Hardin,Nikki,12th Grade,McKay,Yes,Mr. McKay,Mr. Crowell,Ms. Newcombe,Mr. Abel,YES,
5/31/2018 9:50:29,kspiteri@hotmail.com,Sexton,Gigi,12th Grade,Agostanelli,No,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Dr. Sampou/Recycling the Right Way,YES,
5/31/2018 9:50:34,lstaf@me.com,Salas,Prince,10th Grade,Dr. Wright,No,Ms. Young/Theatre Advisory,Ms. Mead/ Snack attack!,Ms. Milne/Ms. Prantis/Origami Advisory,Ms. Sheeler/Music & the Arts Alive Advisory,NO,
5/31/2018 9:50:42,zwood@yahoo.ca,Livingston,Brewster,10th Grade,Dr Wright,No,Ms. Mead/ Snack attack!,Ms. Young/Theatre Advisory,Ms. Strong/ROVers Advisory,Mr. Crowell,YES,
5/31/2018 9:50:46,lstaf@aol.com,Lambert,Sammy,10th Grade,Mr. Hyer,No,Ms. Mead/ Snack attack!,Ms. Wheeler,Mr. Bundy,Ms. Newcombe,YES,
5/31/2018 9:50:58,aegreene@hotmail.com,Gordon,Holly,10th Grade,Mrs.singh ,No,Mr. Abel,Mrs. Abel,Ms. Agostinelli,Mr. Bihl,NO,
5/31/2018 9:50:59,grolschie@sbcglobal.net,Ortiz,Joey,10th Grade,Farooqi,No,Mrs. Abel,Mr. Bundy,Ms. Milne/Ms. Prantis/Origami Advisory,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:51:04,ducasse@hotmail.com,Galvan,Sugar,12th Grade,Ms.newcombe,No,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Monfort,Mr. Abel,YES,
5/31/2018 9:51:11,godeke@optonline.net,Glenn,Gunner,12th Grade,McKay ,Yes,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,YES,
5/31/2018 9:51:14,matloff@optonline.net,Coleman,Jeter,10th Grade,Bundy ,No,Ms. Pohlman,Mr. Tallman/Word Games Advisory,Ms. Mead/ Snack attack!,Mr. Bundy,NO,
5/31/2018 9:51:16,peoplesr@hotmail.com,Singh,Ziggy,10th Grade,Mr.mcdonald,No,Ms. Mead/ Snack attack!,Mr. Crowell,Mr. Abel,Ms. Newcombe,NO,
5/31/2018 9:54:32,campware@att.net,Mccarty,Phoebe,12th Grade,Mr. Crowell,No,Ms. Yalden/Healthy Living Advisory,Mr. Crowell,Mr. Abel,Ms. Young/Theatre Advisory,NO,
5/31/2018 9:51:28,arebenti@mac.com,Harrington,Maggie,10th Grade,Ms.manrique,Yes,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Ms. Mead/ Snack attack!,Mr. Crowell,NO,
5/31/2018 9:51:29,gemmell@icloud.com,Dorsey,Jasmine,10th Grade,Madame O’Keefe,No,Mr. Crowell,Ms. Mead/ Snack attack!,Mrs. Abel,Mr. Bundy,NO,
5/31/2018 9:51:35,ducasse@msn.com,Spence,Maya,11th Grade,Ms. Yalden,No,Mr. McKay,Dr. Wright,Ms. Young/Theatre Advisory,Ms. Yalden/Healthy Living Advisory,NO,
5/31/2018 9:51:37,empathy@outlook.com,Willis,Mocha,10th Grade,Ms strong ,No,Mr. Tallman/Word Games Advisory,Mr. Bundy,Ms. Mead/ Snack attack!,Mme. O'Keefe,YES,
5/31/2018 9:51:38,mthurn@live.com,Moon,Jax,10th Grade,yalden,No,Ms. Pohlman,Mr. Crowell,Mrs. Abel,Mr. Bihl,YES,
5/31/2018 9:51:41,pakaste@msn.com,Jordan,Whiskey,10th Grade,Ms Manrique,Yes,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Mr. Bundy,Mrs. Abel,NO,
5/31/2018 9:51:56,phizntrg@mac.com,Ponce,Kahlua,11th Grade,singh,No,Ms. Monfort,Dr. Sampou/Recycling the Right Way,Mr. Bundy,Ms. Raftery,NO,
5/31/2018 9:51:58,plover@yahoo.com,Duarte,Rusty,10th Grade,Dr. Pete,No,Ms. Mead/ Snack attack!,Mr. Abel,Ms. Raftery,Ms. Newcombe,YES,
5/31/2018 9:52:05,ntegrity@yahoo.com,Huynh,Maddie,12th Grade,Ms Dailey,No,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Monfort,NO,
5/31/2018 9:52:19,melnik@aol.com,Cummings,Puppy,12th Grade,Wojtowicz ,No,Mr. Bihl,Dr. Sampou/Recycling the Right Way,Mr. Bundy,Mr. Tallman/Word Games Advisory,NO,1
5/31/2018 9:52:49,vlefevre@yahoo.com,Hurst,Shiner,12th Grade,ms wheeler,Yes,Ms. Wheeler,Mr. Abel,Mrs. Abel,Mr. Crowell,NO,
5/31/2018 9:52:55,duchamp@outlook.com,Meadows,Bubba,12th Grade,Mckay,Yes,Mr. McKay,Mrs. Abel,Ms. Manrique/Latin American Culture Advisory,Ms. Monfort,NO,
5/31/2018 9:52:55,helger@me.com,Patterson,Nina,12th Grade,Mr. Mckay ,Yes,Mr. McKay,Mrs. Abel,Ms. Manrique/Latin American Culture Advisory,Ms. Monfort,NO,
5/31/2018 9:53:01,ajohnson@optonline.net,Pacheco,Thor,11th Grade,Mr. McDonald,No,Mr. McKay,Ms. Wheeler,Mrs. Abel,Ms. Newcombe,YES,
5/31/2018 9:53:31,arnold@comcast.net,Watkins,Maverick,11th Grade,Ms. Mead ,Yes,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. McKay,Ms. Monfort,YES,
5/31/2018 9:53:31,mnemonic@comcast.net,Rubio,Benji,12th Grade,Crowell,No,Ms. Manrique/Latin American Culture Advisory,Ms. Sandland,Ms. Farooqi,Mr. Crowell,NO,
5/31/2018 9:53:34,damian@live.com,Ashley,Molly,12th Grade,Mr. Crowell,No,Ms. Manrique/Latin American Culture Advisory,Ms. Sandland,Ms. Farooqi,Mr. Crowell,YES,
5/31/2018 9:53:59,corrada@yahoo.ca,Pope,Simba,11th Grade,Crowel,Yes,Mr. Crowell,Ms. Lambdin,Ms. Farooqi,Mr. Bundy,NO,
5/31/2018 9:54:05,bflong@me.com,Baldwin,Mercedes,10th Grade,Mr. Wojtowicz,No,Ms. Sheeler/Music & the Arts Alive Advisory,Ms. Young/Theatre Advisory,Ms. Strong/ROVers Advisory,Ms. Manrique/Latin American Culture Advisory,NO,
5/31/2018 9:54:18,tattooman@hotmail.com,Wright,Pepper,11th Grade,Mr wojtowicz,No,Mr. McKay,Mr. Wojtowicz,Dr. Wright,Ms. Lambdin,YES,
5/31/2018 9:54:21,sacraver@yahoo.com,Schneider,Zoe,10th Grade,Mrs Willaims,No,Ms. Raftery,Mr. Bundy,Ms. Newcombe,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:54:31,bhtower@icloud.com,Powell,Jack,10th Grade,Daley ,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Ms. Yalden/Healthy Living Advisory,Ms. Young/Theatre Advisory,YES,
5/31/2018 9:54:48,budinger@yahoo.com,Dickson,Ace,11th Grade,Mr. Bundy,No,Ms. Mead/ Snack attack!,Mr. Bihl,Ms. Lambdin,Mrs. Abel,YES,
5/31/2018 9:54:49,mnemonic@me.com,Knapp,Sassy,12th Grade,Bundy ,No,Dr. Sampou/Recycling the Right Way,Ms. Monfort,Mr. Crowell,Ms. Newcombe,YES,
5/31/2018 9:54:50,ianbuck@optonline.net,Watson,Ellie,11th Grade,Mrs.Abel,Yes,Mrs. Abel,Ms. Monfort,Ms. Mead/ Snack attack!,Mr. Abel,YES,
5/31/2018 9:54:51,fangorn@outlook.com,Krueger,Penny,12th Grade,Manrique,Yes,Ms. Manrique/Latin American Culture Advisory,Ms. Pohlman,Dr. Sampou/Recycling the Right Way,Mr. Abel,NO,12
5/31/2018 9:54:52,jaarnial@yahoo.com,Kirby,Hazel,10th Grade,Marca Daley ,No,Ms. Mead/ Snack attack!,Ms. Strong/ROVers Advisory,Ms. Wheeler,Ms. Sandland,NO,
5/31/2018 9:54:53,bwcarty@outlook.com,Leonard,Lacey,10th Grade,Mc.Donald,No,Ms. Raftery,Mr. Bundy,Ms. Newcombe,Ms. Mead/ Snack attack!,YES,
5/31/2018 11:03:02,mrdvt@icloud.com,Miranda,Lexi,11th Grade,Mrs. Abel,No,Mrs. Abel,Mr. McKay,Ms. Strong/ROVers Advisory,Ms. Farooqi,NO,
5/31/2018 9:55:09,richard@yahoo.com,Mckinney,Bonnie,10th Grade,Bihl,No,Mr. McKay,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,Ms. Pohlman,YES,
5/31/2018 9:55:09,sagal@live.com,Barron,Rufus,11th Grade,Me Crowell ,Yes,Mr. Crowell,Ms. Lambdin,Mr. Wojtowicz,Ms. Pohlman,NO,
5/31/2018 9:55:11,nacho@aol.com,Frost,Samson,11th Grade,Crowell,Yes,Mr. Crowell,Ms. Lambdin,Ms. Pohlman,Mr. Wojtowicz,NO,
5/31/2018 9:55:22,ismail@me.com,Wall,Dexter,11th Grade,Bundy,No,Ms. Monfort,Ms. Farooqi,Mr. Bundy,Mr. McKay,YES,
5/31/2018 9:55:25,twoflower@icloud.com,Manning,Ollie,11th Grade,Hyer,No,Mrs. Abel,Ms. Mead/ Snack attack!,Ms. Lambdin,Ms. Raftery,YES,
5/31/2018 9:55:27,dimensio@me.com,Sanchez,Zoey,11th Grade,Daley,No,Ms. Wheeler,Ms. Manrique/Latin American Culture Advisory,Ms. Monfort,Ms. Sheeler/Music & the Arts Alive Advisory,YES,
5/31/2018 9:55:45,mfburgo@outlook.com,Johnston,Nala,11th Grade,Me. McDonald,No,Mr. McKay,Ms. Yalden/Healthy Living Advisory,Ms. Raftery,Ms. Mead/ Snack attack!,YES,
5/31/2018 9:56:05,barlow@icloud.com,Gibbs,Hunter,10th Grade,Me. Bundy,Yes,Ms. Newcombe,Ms. Mead/ Snack attack!,Ms. Young/Theatre Advisory,Ms. Sheeler/Music & the Arts Alive Advisory,YES,
5/31/2018 9:56:08,durist@sbcglobal.net,Vega,Henry,10th Grade,Ms. Yalden ,No,Ms. Raftery,Mr. Bundy,Ms. Newcombe,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:56:13,mgreen@icloud.com,Green,Jake,10th Grade,yalden ,No,Ms. Raftery,Mr. Bundy,Ms. Newcombe,Ms. Mead/ Snack attack!,NO,
5/31/2018 9:56:27,dodong@att.net,Wu,Sadie,10th Grade,Mr. Hyer,No,Mr. McKay,Ms. Mead/ Snack attack!,Ms. Yalden/Healthy Living Advisory,Ms. Strong/ROVers Advisory,YES,
5/31/2018 9:56:31,mccurley@verizon.net,Steele,Chewy,12th Grade,Wheeler,No,Ms. Manrique/Latin American Culture Advisory,Mr. Abel,Mr. McKay,Ms. Wheeler,NO,
5/31/2018 10:02:57,campbell@gmail.com,Collins,Dodger,10th Grade,Mr. Fetzer,No,Mr. Bundy,Ms. Young/Theatre Advisory,Mr. McKay,Mr. Wojtowicz,NO,
5/31/2018 9:56:49,paley@mac.com,Leon,Oscar,10th Grade,mrs. krumveda,No,Mr. Crowell,Mr. Bundy,Mrs. Abel,Mr. Bihl,NO,
5/31/2018 9:57:29,kdawson@yahoo.ca,Velasquez,Chase,10th Grade,Marca Daley,No,Ms. Mead/ Snack attack!,Ms. Newcombe,Mr. Bundy,Ms. Young/Theatre Advisory,YES,
5/31/2018 9:57:50,sjava@hotmail.com,Williams,Harry,10th Grade,Monfort,No,Ms. Mead/ Snack attack!,Dr. Sampou/Recycling the Right Way,Ms. Monfort,Mrs. Abel,NO,
5/31/2018 9:58:02,scato@live.com,Alvarado,Copper,11th Grade,Krumvieda,No,Mr. Crowell,Ms. Lambdin,Mr. Wojtowicz,Ms. Pohlman,YES,
5/31/2018 12:24:07,milton@comcast.net,Mccullough,Duke,10th Grade,Me.McKay,Yes,Mr. McKay,Ms. Pohlman,Ms. Newcombe,Mr. Abel,YES,
5/31/2018 10:01:16,ramollin@outlook.com,Rich,Trixie,10th Grade,Mr.Fetzer,No,Ms. Pohlman,Ms. Sandland,Ms. Monfort,Mr. Abel,YES,
5/31/2018 10:03:38,galbra@me.com,Walters,Cisco,10th Grade,ms abel,No,Ms. Monfort,Mr. Bundy,Mrs. Abel,Ms. Raftery,NO,
5/31/2018 10:04:36,pkplex@outlook.com,Gardner,Apollo,10th Grade,Mrs. Strong,No,Mr. Abel,Mrs. Abel,Ms. Agostinelli,Mr. Crowell,NO,
5/31/2018 10:08:39,aukjan@att.net,Cervantes,Cooper,12th Grade,Mrs. Manrique,Yes,Ms. Manrique/Latin American Culture Advisory,Mrs. Abel,Ms. Mead/ Snack attack!,Mr. McKay,NO,1
5/31/2018 10:08:44,xnormal@sbcglobal.net,Burns,Millie,10th Grade,Mrs.krumavida ,No,Ms. Wheeler,Ms. Mead/ Snack attack!,Ms. Yalden/Healthy Living Advisory,Mrs. Abel,NO,
5/31/2018 10:14:24,rcwil@me.com,Mcgee,Panda,11th Grade,Ms.Able,Yes,Mrs. Abel,Mr. Abel,Ms. Farooqi,Mr. Bihl,YES,
5/31/2018 10:32:14,syrinx@gmail.com,Klein,Layla,10th Grade,Mrs Williams,No,Ms. Mead/ Snack attack!,Ms. Manrique/Latin American Culture Advisory,Mr. Bihl,Mrs. Abel,YES,
5/31/2018 10:41:49,danneng@comcast.net,Spencer,Sophie,11th Grade,ms abel,No,Mr. Abel,Ms. Mead/ Snack attack!,Ms. Lambdin,Mr. Crowell,NO,
5/31/2018 11:07:48,vganesh@yahoo.ca,Richard,Peanut,10th Grade,Mr. Wright ,No,Ms. Pohlman,Mr. McKay,Dr. Sampou/Recycling the Right Way,Ms. Mead/ Snack attack!,NO,
5/31/2018 11:35:41,sthomas@verizon.net,Gutierrez,Sasha,11th Grade,Ms. Pohlman ,No,Mr. Bihl,Mr. McKay,Ms. Mead/ Snack attack!,Mr. Wojtowicz,NO,
